,yrke
german philologist,3
kemiingenjör,3
provost,3
government official,3
handelsidkerska,3
accountant,3
rentier,3
plåtslagare,3
handlare,3
handelslärare,3
field-marshal,3
gatudirektör,3
freethinker,3
medical journalist,3
ögonläkare,3
tulltjänsteman,3
barnboksförfattare,3
maskiningenjör,3
dramaturg,3
samhällsdebattör,3
kamrerare,3
oboist,3
athlete,3
physician-in-ordinary to the king,3
judge in india,3
förste intendent,3
dealer,3
musicologist,3
neuroforskare,3
hovjuvelerare,3
förskollärare,3
jur. dr h.c.,3
paleobotaniker,3
cand. mag.,3
fiskare,3
mechanical engineer,3
geodesist,3
trävaruhandlare,3
protokollsekreterare,3
vulkanolog,3
universitetslärare i berlin,3
gruvingenjör,3
hovrättsnotarie,3
representant,3
pjäsförfattare,3
jur. kand.,3
kulturskribent,3
vicar,3
newspaper proprietor,3
litteratör,3
feminist,3
samlare,3
läroverksrektor,3
helminthologist,3
hypnotist,3
fabriksidkare,3
sergeant,3
med. dr.,3
förste stadsläkare,3
museiinspektör,3
kanslist,3
judge advocate,3
radioproducent,3
kyrkomålare,3
idrottsman,3
prokurist,3
religious leader,3
teol. dr h.c.,3
book illustrator,3
gynekolog,3
landtmätare,3
bank employee,3
antique dealer,3
fabrikant,3
romanist,3
västerås,3
postexpeditör,3
bankkassör,3
företagsekonom,3
bibliophile,3
fil.lic.,3
myntgravör,3
chargé d'affaires,3
postmaster,3
plant physiologist,3
oncologist,3
speaker of the house of commons,3
private secretary to the king,3
forstmästare,3
v häradshövding,3
jur stud,3
nämndeman,3
tekn. dr.,3
notary public autograph collector,3
educational reformer,3
print collector,3
underofficer,3
konsulent,3
östromersk kejsare,3
djurmålare,3
stadsplanerare,3
scribe,3
överjägmästare,3
assuransdirektör,3
skådespelare?,3
neurophysiologist,3
slottsfogde,3
slavist,3
essäist,3
founder of scholarship,3
telegrafexpeditör,3
pastellmålare,3
dansk författare,3
antikvariatsbokhandlare,3
munk,3
first class assistent engineer,3
prins av sverige,3
vice konsul,3
justice of the peace,3
algologist,3
kammarjunkare,3
marinläkare,3
skomakare,3
writer on agriculture,3
telegrafkommissarie,3
jordbruksforskare,3
language teacher,3
lantbruksråd,3
polisdomare,3
industriledare,3
gallerist,3
överståthållare,3
stage manager,3
förvaltare,3
ambassador,3
assessor i bergskollegium,3
metodistpastor,3
shipbuilder,3
fiskeriinspektör,3
operachef,3
lund,3
lichenologist,3
local historian,3
kammarjungfru,3
copyist,3
hovintendent,3
carpenter,3
konstpedagog,3
mynthandlare,3
fil.kand.,3
seller,3
järnsvarvare,3
brandchef,3
radical,3
verkstadsarbetare,3
biblioteksassistent,3
accoucheur,3
korrekturläsare,3
socialråd,3
lantmarskalk,2
fil,2
husa,2
postiljon,2
rebel leader,2
länsveterinär,2
dekan,2
telegraftjänsteman,2
psalmförfattare,2
avdelningschef,2
clothier,2
jena,2
carver,2
friidrottare,2
doct ès lettres,2
farm kand,2
church-warden,2
vetenskaplig illustratör,2
fänrik,2
sufflör,2
professor i nordiska språk,2
utrikesråd,2
q. c.,2
filmkritiker,2
master of college,2
länsarkitekt,2
rope maker,2
estetiker,2
bygdeforskare,2
music critic,2
mountaineer,2
upptäcktsresande,2
skoldirektör,2
master of the horse,2
hovkansler,2
ornamentstecknare,2
ciselör,2
skeppsmäklare,2
sockerbagare,2
chefsbibliotekarie,2
museologist,2
teaterpedagog,2
univ. lärare,2
yeoman,2
farmaceut,2
folkminnesforskare,2
director of research station,2
crystallographer,2
v konsul,2
controversialist,2
connoisseur of the arts,2
stiftsekreterare,2
benefactor,2
korvförsäljare,2
old english scholar,2
metropolit,2
med lic,2
marine engineer,2
high school teacher,2
jur utr dr,2
statskonsulent,2
jur lic,2
reparatör,2
antikhandlare,2
tullkontrollör,2
nobel prize winner,2
akvarellist,2
entrepreneur,2
topograf,2
vetenskapshistoriker,2
ärftlighetsforskare,2
anarchist,2
hertig,2
radiochef,2
dekoratör,2
litteratur- och teaterkritiker,2
benedictine,2
writer on science,2
limnologist,2
distriktslantmätare,2
marskalk,2
governor-general of bengal,2
veterinärläkare,2
träsnidare,2
mrs,2
inspektor över mått och vikt,2
quack doctor,2
hovkamrer,2
fiskhandlare,2
myntdirektör,2
univ.lärare i strassburg,2
railway director,2
barnmorska,2
mechitaristpater,2
museuminspektör,2
abbedissa,2
stillebenmålare,2
dietician,2
lord chief justice,2
ulricehamn,2
dragspelare,2
verse-writer,2
manufacturer of patent medicines,2
writer to the signet,2
dr.phil.,2
king of spain,2
usa,2
clown,2
christian apologist,2
förste byråingenjör,2
specerihandlare,2
tullförvaltare,2
rikskansler,2
idrottshistoriker,2
kakelugnsmakare,2
druggist,2
universitetslärare i wien,2
headmistress,2
länsjägmästare,2
biblioteksamanuens,2
münchen,2
radiolog,2
industriarbetare,2
patriarch of aquileia,2
förrådsman,2
filosofie licentiat,2
osteologist,2
bankofullmäktig,2
domvikarie,2
syssloman,2
underlöjtnant,2
shipowner,2
hemvärnsman,2
leprosy specialist,2
teol. lic.,2
målarinna,2
filosofie magister,2
ämbetsman och författare,2
fackföreningsledare,2
fylkesman,2
tidningsutgivare,2
trafikdirektör,2
theatrical historian,2
konsulatstjänsteman,2
italian patriot,2
talpedagog,2
lic ès lettres,2
railway projector,2
professor vid univ. i berlin,2
mass.,2
landshövdingska,2
arrendator,2
fil mag.,2
privatsekreterare,2
äldre underbibliotekarie,2
steward,2
patolog,2
teaterdekoratör,2
kapare,2
lantbruksekonom,2
dekanus,2
scoutledare,2
småskollärarinna,2
swindler,2
amsterdam,2
orkesterledare,2
med. lic.,2
fröken,2
tekn. dr h.c.,2
litt d,2
målaremästare,2
sättare,2
kardiolog,2
skrivare?,2
ämbetsman.,2
sexologist,2
eccentric,2
natural history artist,2
polyhistor,2
purist,2
pressråd,2
christian socialist,2
programdirektör,2
tailor,2
fishmonger,2
diversearbetare,2
professor i rostock,2
baptistpredikant,2
kommendör i frälsningsarmén,2
foreign secretary,2
antikvitetshandlare,2
ph dr,2
showman,2
stallmästare,2
rhinologist,2
saleswoman,2
socionom,2
programtjänsteman,2
krigskassör,2
biblioteksråd,2
lord chamberlain,2
executive engineer,2
fil. mag.,2
värnpliktig,2
hypnotherapist,2
skeppsbyggmästare,2
latinist,2
färgare,2
gårdsägare,2
departementssekreterare,2
seminarierektor,2
hairdresser,2
balettkritiker,2
bataljmålare,2
professor i medicin,2
stiftsadjunkt,2
kunglig sekreterare,2
pleasure garden proprietor,2
bibliograf,2
ll. d.,2
dlitt,2
agent,2
folkskolelärare,2
geophysicist,2
riksdagspolitiker,2
notary,2
teaterregissör,2
antikhistoriker,2
toponomist,2
gatuchef,2
bankokassör,2
xylographer,2
kvinnosakskämpe,2
ekonomidirektör,2
greek scholar,2
dean of peterborough,2
gilder,2
gjutare,2
tutor,2
director of laboratory,2
arkitekturmålare,2
stiftsjungfru,2
cembalist,2
sjömilitär,2
vicehäradshövding,2
stadsjurist,2
styrman,2
writer on music,2
notarie,2
farm. dr h.c.,2
egendomsägare,2
medical practitioner,2
director of the zoological gardens,2
builder and administrator of roads,2
chemical manufacturer,2
m a,2
overretssagförer,2
hovmästare,2
tullman,2
postassistent,2
kulturjournalist,2
utgivare,2
animal-painter,2
universitetsantikvarie,2
limmared,2
dott,2
cotton manufacurer,2
tillverkare av myntvikter,2
korpral,2
potter,2
statsfru,2
barnsköterska,2
järnvägsbyggare,2
silversmed,2
ortoped,2
medical administrator,2
optical instrument maker,2
mariningenjör,2
foreign minister,2
departementsråd,2
print publisher,2
restaurator,2
minister for justice,2
satiriker,2
psalmdiktare,2
idrottsledare,2
journal founder,2
industrichef,2
oberkonsistorialrat,2
hovjunkare,2
chronicler,2
fil.mag.,2
stadskamrerare,2
museiföreståndare,2
drätseldirektör,2
jur.kand.,2
registrar,2
hotel proprietor,2
posttjänsteman,2
museumsdirektör,2
graphic artist,2
tenor,2
chaufför,2
libraries agitator,2
konsult,2
topographical draughtsman,2
doktorinna,2
landssekreterare,2
akvatintgravör,2
lokalhistoriker,2
trädgårdsarbetare,2
stadskomminister i lund,2
telegraphy expert,2
policeman,2
enforcement officer,2
railway engineer,2
exhibition organizer,2
lunds stift,2
viscount,2
komiker,2
anatom,2
satirtecknare,2
geheimeråd,2
polisöverintendent,2
fortune-teller,2
hävdatecknare,2
börschef,2
surgical appliance maker,2
vice lantmätare,2
millowner,2
konsulinna,2
recensent,2
chairman,2
