,Yrke,Antal,SBL_SKBL
527,Missionspastor,,SBL_only
528,Missionär,15,both
529,Modeskapare,,SBL_only
530,Motorjournalist,,SBL_only
531,Motorsportspionjär,,SBL_only
532,Motreformator,,SBL_only
533,Munk,,SBL_only
534,Murmästare,,SBL_only
535,Museichef,1,both
536,Museigrundare,,SBL_only
537,Museiman,,SBL_only
538,Musikchef,,SBL_only
539,Musiker,10,both
540,Musikforskare,,SBL_only
541,Musikförlagsredaktör,,SBL_only
542,Musikförläggare,,SBL_only
543,Musikhandlare,,SBL_only
544,Musikhistoriker,,SBL_only
545,Musikjournalist,,SBL_only
546,Musikkritiker,1,both
547,Musiklärare,1,both
548,Musikskribent,,SBL_only
549,Musikskriftställare,,SBL_only
550,Musikteoretiker,,SBL_only
551,Musikvetare,,SBL_only
552,Mykolog,,SBL_only
553,Myntdirektör,,SBL_only
554,Myntgravör,,SBL_only
555,Myntmästare,,SBL_only
556,Myntproberare,,SBL_only
557,Mystiker,,SBL_only
558,Målare,,SBL_only
559,Mätress,,SBL_only
560,Möbelformgivare,,SBL_only
561,Möbelsnickare,,SBL_only
562,Mönsterritare,,SBL_only
563,Nationalekonom,,SBL_only
564,Naturalhistoriker,,SBL_only
565,Naturaliesamlare,,SBL_only
566,Naturforskare,,SBL_only
567,Naturläkare,,SBL_only
568,Naturskyddsföreträdare,,SBL_only
569,Neurolog,,SBL_only
570,Nomadskolinspektör,,SBL_only
571,Nordist,,SBL_only
572,Numismatiker,,SBL_only
573,Nuntie,,SBL_only
574,Nyckelharpist,,SBL_only
575,Nykterhetsman,,SBL_only
576,Nykterhetspionjär,,SBL_only
577,Näringslivsföreträdare,,SBL_only
578,Nöjesparksdirektör,,SBL_only
579,Oboist,,SBL_only
580,Oceanograf,,SBL_only
581,Odontolog,,SBL_only
582,Oftalmolog,,SBL_only
583,Operachef,,SBL_only
584,Operaintendent,,SBL_only
585,Operaregissör,,SBL_only
586,Operasångare,,SBL_only
587,Operettsångare,,SBL_only
588,Optiker,,SBL_only
589,Ordensriddare,,SBL_only
590,Organist,,SBL_only
591,Orgelbyggare,,SBL_only
592,Orientalist,,SBL_only
593,Orkesterledare,,SBL_only
594,Ornamentbildhuggare,,SBL_only
595,Ornitolog,,SBL_only
596,Ortnamnsforskare,,SBL_only
597,Pacifist,,SBL_only
598,Paleontolog,,SBL_only
599,Paleozoolog,,SBL_only
600,Pappersingenjör,,SBL_only
601,Parasitolog,,SBL_only
602,Partifunktionär,,SBL_only
603,Partiledare,,SBL_only
604,Partisan,,SBL_only
605,Patentingenjör,,SBL_only
606,Patolog,,SBL_only
607,Pedagog,,SBL_only
608,Pedagogisk skriftställare,,SBL_only
609,Pensionsbolagsdirektör,,SBL_only
610,Personalkonsulent,,SBL_only
611,Personhistoriker,,SBL_only
612,Personnamnsforskare,,SBL_only
613,Pfalzgreve,,SBL_only
614,Pfalzgrevinna,,SBL_only
615,Pianist,,SBL_only
616,Pianofabrikör,,SBL_only
617,Pianopedagog,,SBL_only
618,Pietist,,SBL_only
619,Pilot,1,both
620,Plantageägare,,SBL_only
621,Poet,,SBL_only
622,Polarforskare,,SBL_only
623,Polismästare,1,both
624,Politiker,,SBL_only
625,Politisk aktör,,SBL_only
626,Politisk fånge,,SBL_only
627,Politisk skriftställare,,SBL_only
628,Pomolog,,SBL_only
629,Populärvetenskaplig författare,,SBL_only
630,Porslinstekniker,,SBL_only
631,Porträttmålare,,SBL_only
632,Postdirektör,,SBL_only
633,Postmästare,,SBL_only
634,Posttjänsteman,,SBL_only
635,Predikant,5,both
636,Predikstolsmakare,,SBL_only
637,Prelat,,SBL_only
638,Pressfotograf,,SBL_only
639,Prins,,SBL_only
640,Prinsessa,1,both
641,Prior,,SBL_only
642,Priorinna,,SBL_only
643,Produktionsledare,,SBL_only
644,Programchef,,SBL_only
645,Prokurator,,SBL_only
646,Provinsialshäfer,,SBL_only
647,Präst,3,both
648,Psalmdiktare,,SBL_only
649,Psykiater,,SBL_only
650,Psykoanalytiker,,SBL_only
651,Psykolog,1,both
652,Publicist,,SBL_only
653,Påvlig ämbetsman,,SBL_only
654,Pälshandlande,,SBL_only
655,Rabbin,,SBL_only
656,Radiochef,,SBL_only
657,Radiolog,,SBL_only
658,Radioman,,SBL_only
659,Radioreporter,,SBL_only
660,Radiotjänsteman,,SBL_only
661,Redaktör,12,both
662,Redare,1,both
663,Redarföreningsdirektör,,SBL_only
664,Reformator,,SBL_only
665,Regissör,12,both
666,Reklambyråägare,,SBL_only
667,Reklamman,,SBL_only
668,Religionshistoriker,,SBL_only
669,Religionspsykolog,,SBL_only
670,Religiös skriftställare,,SBL_only
671,Renägare,1,both
672,Reportagefotograf,,SBL_only
673,Reseskildrare,,SBL_only
674,Restaurangdirektör,,SBL_only
675,Restauratör,,SBL_only
676,Retoriker,,SBL_only
677,Revisor,,SBL_only
678,Revyförfattare,,SBL_only
679,Riddare,,SBL_only
680,Ridlärare,,SBL_only
681,Riksamiral,,SBL_only
682,Riksantikvarie,,SBL_only
683,Riksbankens jubileumsfond vd,,SBL_only
684,Riksdagsman,,SBL_only
685,Riksdagspolitiker,,SBL_only
686,Riksdrots,,SBL_only
687,Riksföreståndare,,SBL_only
688,Rikshistoriograf,,SBL_only
689,Rikshövitsman,,SBL_only
690,Rikskansler,,SBL_only
691,Rikskansliråd,,SBL_only
692,Riksmarsk,,SBL_only
693,Riksmarskalk,,SBL_only
694,Riksråd,,SBL_only
695,Riksskattmästare,,SBL_only
696,Riksstallmästare,,SBL_only
697,Riksståthållare,,SBL_only
698,Romanist,,SBL_only
699,Runristare,,SBL_only
700,Ryttare,,SBL_only
701,Rådman,,SBL_only
702,Rädda barnen-ordförande,,SBL_only
703,Räntmästare,,SBL_only
704,Rättshistoriker,,SBL_only
705,Rättssociolog,,SBL_only
706,Rödakorsordförande,,SBL_only
707,Sadelmakare,,SBL_only
