,yrke
Folkhögskolelärare,2
körledare,2
Lagman,2
King of Spain,2
Kammarrättsråd,2
civilekonom,2
arkitekturhistoriker,2
Teckningslärare,2
filmproducent,2
Lord Chief Justice,2
Theatre official,2
Företagsledare,2
Mekaniker,2
folkhögskollärare,2
förste bibliotekarie,2
Plant pathologist,2
Landskapsmålare,2
Hovjuvelerare,2
justitiekansler,2
Headmaster of Harrow,2
Kirurg,2
Governor-general of India,2
generalsekreterare,2
Tidningsredaktör,2
radiochef,2
Connoisseur of the arts,2
Viscount,2
Private secretary to the king,2
Finansman,2
Nonjuror,2
sinolog,2
Judge advocate,2
bokhandlare,2
byggmästare,2
bruksdisponent,2
Paper manufacturer,2
Museologist,2
Kommendör i Frälsningsarmén,2
Anglist,2
Builder and administrator of roads,2
Landsarkivarie,2
vicekonsul,2
cand phil,2
Hypnotist,2
Copyist,2
domare,2
Ph dr,2
folkminnesforskare,2
Greek scholar,2
prins av Sverige,2
superkargör,2
Minister for Justice,2
München,2
Bokbindare,2
fångvårdschef,2
bergsråd,2
Tutor,2
Catoonist,2
Gentleman,2
assuransdirektör,2
Hydrologist,2
Physician-in-ordinary to the king,2
Oceanograf,2
Physical chemist,2
Showman,2
Arkivarie,2
librettist,2
Theatrical historian,2
Teaterförläggare,2
samlare,2
Religionsforskare,2
Dr.,2
Postal reformer,1
programledare,1
franciskanbroder,1
Inredningsarkitekt,1
Ungsocialist,1
Industrihistoriker,1
Public relations councel,1
Professor i ekonomisk geografi vid Handelshögskolan i Göteborg.,1
Professor i ekonomisk geografi,1
Administrator in Ireland,1
Foreign minister,1
Professor i nationalekonomi,1
Writer on geography,1
generalrikspostmästare,1
professor i estetik,1
legosoldat,1
Kanslist med mera,1
Medallist,1
Maid of honour,1
Lokalhistoriker,1
Pastellmålare,1
Evolutionary biologist,1
Direktör för Le Figaro,1
fv rektor för Uppsala universitet (2012-2020),1
TV-programledare,1
Rhinologist,1
Danskonstnärinna,1
clergyman,1
Anatom,1
Indolog,1
Engelsk fotograf,1
baryton,1
Psalmboksförfattare,1
Forstmästare,1
ordboksman,1
HM Konungens kabinettskammarherre (Gustaf V),1
stadsträdgårdsmästare,1
folkbildningsman,1
Estetiker och universitetsbibliotekarie,1
tjänsteman i Krigshovrätten,1
premierlöjtnant,1
statsgeolog,1
Landstingsman,1
amatörforskare,1
Historie- och dekorationsmålare.,1
Borgmästare i Sala,1
War correspondent,1
Skollärare,1
varvsägare,1
Dean of Exeter,1
kopist,1
teaterhistoriker,1
förste hovsångare,1
Daguerreotypist,1
Fabriksinspektör,1
Suffraganbiskop i Poznań,1
cytolog,1
äventyrare,1
Ogan designer,1
Byrettsdommer,1
Chemistry teacher,1
Contractor for railways and public works,1
tillverkare av balansvågar och myntvikter,1
Aural surgeon,1
dansk prins,1
Rektor för Lunds universitet 1980-1983,1
univ.lärare i Kiel,1
Biblioteksman från Lund,1
Stadsbibliotekarie,1
baletthistoriker,1
Legal reformer,1
statshydrograf,1
Founder of the Ordnance Survey,1
Commissioner of prisons,1
Professor vid handelshögskolan i Berlin,1
konsulatstjänsteman,1
nykterhetsivrare,1
Franciscan,1
Natural history auctioneer,1
Litteraturhistoriker och skolman.,1
Teacher of deaf people,1
Fabriksägare,1
Writer on architecture,1
Sermonist,1
dr. phil.,1
specialreferent i tyska riksdagens pressavdelning,1
Ambassadråd,1
Bridge player,1
förste bibliotekarie i Stockholm,1
neurofysiolog,1
Railway-man,1
Lantbruksskoleföreståndare,1
Victim of kidnapping,1
historieskrivare,1
Chief Justice of Bombay,1
hovjägmästare,1
Naturgeograf,1
Kemihistoriker,1
Pleasure garden proprietor,1
Förste arkivarie i utrikesdepartementet,1
Partihandlare,1
Bergsingenjör,1
norsk kronprinsessa,1
upptäcktsresande,1
President,1
Marine engineer,1
programchef vid Sveriges Radio.,1
Cameo cutter,1
Methodist,1
Legationsråd,1
Yrkessjuksköterska,1
tekn dr,1
riksombudsman,1
hovkonstgjutare,1
Myrmecologist,1
Distriktskamrerare,1
Dir. i Svenska gymnastikförbundet,1
Bibliograf,1
fransk konstnär,1
Dövstumlärare och skriftställare inom sitt område.,1
soprano,1
Philosophic radical,1
Finländsk journalist,1
Local politician,1
Developer of steam navigation,1
Vizepräsident der Reichsbank,1
Teaterpedagog,1
Anti-sabbatarian,1
tolagskamrer,1
elektrotekniker,1
Universitetslärare i Halle,1
konstskridskoåkare,1
Litigant,1
folkmålsforskare,1
etsare,1
Nykterhetsman,1
studierektor,1
kammarskrivare,1
Underofficer,1
Italiensk arkeolog,1
radioman m.m.,1
Baptist biblical scholar,1
dirigent och organist,1
Skolföreståndarinna,1
Akademiträdgårdsmästare i Lund,1
Folkdiktsforskare,1
Stilforskare,1
Litograf.,1
Scandinavian scholar,1
Professor i klassiska studier.,1
skolföreståndare,1
kemiingenjör,1
professor i norrön filologi,1
Hispanist,1
Fishmonger,1
Professor i ekonomi och statsvetenskap,1
Riksråd och författare,1
Lärare vid Alnarps lantbruksinstitut,1
Social commentator,1
Kammarjungfru,1
fil. hedersdokt.,1
Direktör för Konstakademien i München,1
Teaterdekoratör,1
Överlärare,1
förvaltningsråd,1
Gouverneur-generaal,1
telegrafkommissarie,1
Murderer,1
Professor i arkitekturhistoria,1
Iron merchant,1
Teolog dr,1
Marine scientist,1
dir gen,1
President Uppsala college,1
Fredsarbetare,1
Reichsbankpräsident,1
University treasurer,1
Notarie i Svea hovrätt,1
Tragédienne,1
Konst- och litteraturkritiker,1
Partisekreterare,1
skogsman,1
Hovkamrer,1
Skåne,1
Protestant reformer,1
Poltical hostess,1
Geofysik,1
Provinsialläkare,1
British museum director,1
Popular anthropologist,1
Stadsbyggnadsdirektör,1
Evangelist,1
Borgmästare i Ystad,1
Bokförläggare i Jena,1
guvernementssekreterare på den svenska kolonin Saint-Barthélemy,1
Arkitekturhistoriker,1
Ecklesiastikminister,1
Bankofullmäktig,1
vapenkonstruktör,1
hovkapellmästare,1
Polemicist,1
Psalmdiktare,1
Upptäcksresande,1
Reformer,1
generalsekr. för Rassemblement universel pour la paix,1
Evangelical journalist,1
domkyrkoarkitekt,1
Riksdagspolitiker,1
skriftställare i Dehli,1
Restaurator,1
West Indies merchant,1
Skogsman,1
m fl,1
rektor vid Malmö skola,1
Sjömilitär,1
univ.lärare i München,1
Armaments manufacturer,1
förste arkivarie,1
talpedagog,1
Överborgmästare,1
Mining financier,1
prinsessa av Sverige och Danmark,1
Religionssociolog,1
folkförsörjningsminister,1
konteramiral,1
univ. lärare i Heidelberg,1
Litteratur- och teaterforskare,1
Fil. mag.,1
Kardiolog,1
scenograf,1
Föreståndare på Övralid,1
redaktionssekreterare,1
sjömilitär,1
överpostdirektör,1
Revivalist,1
retoriklärare,1
Slavist,1
Historian of architecture,1
Professor i Kulturgeografi,1
univ.lärare i Göttingen,1
provinsialläkare,1
dialektforskare,1
Rektor för Lunds universitet 1970-77,1
TV-personlighet,1
Linköpings stift,1
Landsstatstjänsteman,1
teatermålare,1
univ. lärare,1
förste legationssekreterare,1
Geomorfolog,1
Kungl. hovinstrumentmakare,1
fv. landshövding,1
Hallska flickskolan,1
personalkonsulent,1
Kurfurste,1
Sångare (bas),1
Byggnadsantikvarie,1
förste statsmeteorolog,1
Komiker,1
försäkringsman,1
Kanik,1
University chancellor,1
Spanish scholar,1
Benediktinmunk (abbot),1
Official of the Royal Mint,1
Utrikesråd,1
Medium,1
Politician in the United States,1
